hashtag_H	cluster_C_leader(userID)	relative_frequency_H_C	frequency_H_in_C	frequency_H_overall	count_H_in_C	count_hashtags_in_C	count_H_entire_dataset	count_hashtags_entire_dataset retweets_hashtag_freqs.tsv
covidelimination	252793413	25.381818	.001396	.000055	1	716	1	18162
covidinquest	21489341	3.172727	.001396	.000440	1	716	8	18162
covidisairborne	971011334920900609	.102654	.001396	.013599	1	716	247	18162
covidisnotover	90146161	.368932	.005586	.015141	4	716	275	18162
covidisntover	1494582293331349506	.768722	.001396	.001816	1	716	33	18162
cpsc22	419927046	12.690909	.001396	.000110	1	716	2	18162
credit	1387010761994682371	12.690909	.001396	.000110	1	716	2	18162
crookdevelopers	1573800344	25.381818	.001396	.000055	1	716	1	18162
crookedlnp	1573800344	25.381818	.001396	.000055	1	716	1	18162
crumbmaiden	984232716651511808	8.460606	.001396	.000165	1	716	3	18162
dajshadoll	1430989083740868608	25.381818	.001396	.000055	1	716	1	18162
dankekarl	877968869138329601	12.695454	.002793	.000220	2	716	4	18162
deadcat	1474726309	4.230303	.001396	.000330	1	716	6	18162
death	275104144	6.345454	.001396	.000220	1	716	4	18162
debt	1387010761994682371	4.230303	.001396	.000330	1	716	6	18162
deletespotify	4917244678	2.307438	.001396	.000605	1	716	11	18162
demcasttx	17290000	12.690909	.001396	.000110	1	716	2	18162
demvoice1	1270133776748855304	.237014	.004189	.017674	3	716	321	18162
denmark	252793413	5.642424	.002793	.000495	2	716	9	18162
depop	1387010761994682371	25.381818	.001396	.000055	1	716	1	18162
desantis	2941201618	2.115151	.001396	.000660	1	716	12	18162
designmatters	1573800344	12.690909	.001396	.000110	1	716	2	18162
deutschebank	821681572202029058	25.381818	.001396	.000055	1	716	1	18162
devon	2328730903	.845548	.001396	.001651	1	716	30	18162
dfg	738145794	25.381818	.001396	.000055	1	716	1	18162
dictatordesantis	1356492104235577344	25.381818	.001396	.000055	1	716	1	18162
diemaskebleibtauf	1429016867532849153	16.158677	.009776	.000605	7	716	11	18162
dievernunftsiegt	1381854660106010626	25.381818	.001396	.000055	1	716	1	18162
ditchtheprotocol	1284146730	25.381818	.001396	.000055	1	716	1	18162
dobetterabc	105613985	25.381818	.001396	.000055	1	716	1	18162
domicrom	2886781622	6.345454	.001396	.000220	1	716	4	18162
domicron	553990226	2.820202	.001396	.000495	1	716	9	18162
donetsk	980751310642233345	1.056775	.001396	.001321	1	716	24	18162
donothingdoug	713133920968159232	25.381818	.001396	.000055	1	716	1	18162
dontlookup	976948534053343233	1.812459	.002793	.001541	2	716	28	18162
dowehaveaproblem	922464867436593153	1.879542	.002793	.001486	2	716	27	18162
downingstreetparties	130065700	.576383	.001396	.002422	1	716	44	18162
dutton	1573800344	4.230303	.001396	.000330	1	716	6	18162
election2022	48367770	2.416089	.002793	.001156	2	716	21	18162
election22	1573800344	5.078181	.002793	.000550	2	716	10	18162
emeraldcity	2968186857	25.381818	.001396	.000055	1	716	1	18162
empathy	29447428	3.172727	.001396	.000440	1	716	8	18162
endemic	252793413	4.230303	.001396	.000330	1	716	6	18162
engineering	736393287678853122	12.690909	.001396	.000110	1	716	2	18162
englishriviera	2328730903	3.172727	.001396	.000440	1	716	8	18162
epsteinbarrvirus	275104144	25.381818	.001396	.000055	1	716	1	18162
estimates	582414351	3.625974	.001396	.000385	1	716	7	18162
ethics	736393287678853122	6.345454	.001396	.000220	1	716	4	18162
eu	200511006	.253541	.001396	.005506	1	716	100	18162
eugenics	26973844	5.076363	.001396	.000275	1	716	5	18162
europe	975665886286753792	.768722	.001396	.001816	1	716	33	18162
expandthecourt	700359998	7.254545	.002793	.000385	2	716	7	18162
extinctionrebellion	1105502811800915968	2.820202	.001396	.000495	1	716	9	18162
fascism	1240682348120866816	2.538181	.001396	.000550	1	716	10	18162
fauxmo	42856767	25.381818	.001396	.000055	1	716	1	18162
fckafd	877968869138329601	25.381818	.001396	.000055	1	716	1	18162
fcknzs	877968869138329601	12.690909	.001396	.000110	1	716	2	18162
fdpdurchseucht	877968869138329601	25.381818	.001396	.000055	1	716	1	18162
fdprausausderregierung	877968869138329601	12.690909	.001396	.000110	1	716	2	18162
fecklesslumpscotty	1573800344	3.625974	.001396	.000385	1	716	7	18162
federalicac	922294461186453504	1.586363	.001396	.000880	1	716	16	18162
fedicac	1573800344	8.462626	.004189	.000495	3	716	9	18162
ffffffhead	2475034094	1.491452	.001396	.000936	1	716	17	18162
fillupfriday	817086280597209089	4.616528	.002793	.000605	2	716	11	18162
firedejoynow	746377806754394116	25.381818	.001396	.000055	1	716	1	18162
firedesantis2022	977002392368680960	25.381818	.001396	.000055	1	716	1	18162
firegarland	1354107559964073984	25.381818	.001396	.000055	1	716	1	18162
firemerrickgarland	1438672537773395970	12.690909	.001396	.000110	1	716	2	18162
firetheucp	40931023	1.334608	.001396	.001046	1	716	19	18162
fireucp	1493774877198749699	12.690909	.001396	.000110	1	716	2	18162
flashbackfriday	2264401871	25.390909	.002793	.000110	2	716	2	18162
florida	433728338	1.951781	.002793	.001431	2	716	26	18162
floridataxpayers	2941201618	25.381818	.001396	.000055	1	716	1	18162
fluke_natouch	1290232189615894531	.248057	.005586	.022519	4	716	409	18162
flutruxklan	246667561	.429802	.001396	.003248	1	716	59	18162
followmedon	73537202	12.690909	.001396	.000110	1	716	2	18162
fordfailedkids	1355511416720076804	3.172727	.001396	.000440	1	716	8	18162
fordfailedontario	1355511416720076804	1.207612	.001396	.001156	1	716	21	18162
