hashtag_H	cluster_C_leader(userID)	relative_frequency_H_C	frequency_H_in_C	frequency_H_overall	count_H_in_C	count_hashtags_in_C	count_H_entire_dataset	count_hashtags_entire_dataset retweets_hashtag_freqs.tsv
communitysponsorship	578601744	5.618181	.000309	.000055	1	3227	1	18162
composer	45379403	5.618181	.000309	.000055	1	3227	1	18162
concertforukraine	29447428	1.872727	.000309	.000165	1	3227	3	18162
concussion	302984766	5.618181	.000309	.000055	1	3227	1	18162
condoms	940778288871542786	5.618181	.000309	.000055	1	3227	1	18162
confessionchallenge	1471037967926018051	5.618181	.000309	.000055	1	3227	1	18162
confirmlipstadt	1308267623327518725	5.627272	.000619	.000110	2	3227	2	18162
congenitalheartdisease	578601744	5.618181	.000309	.000055	1	3227	1	18162
consentrationcamp	1387010761994682371	5.618181	.000309	.000055	1	3227	1	18162
conservative	302984766	.702272	.000309	.000440	1	3227	8	18162
convoy	302984766	.702272	.000309	.000440	1	3227	8	18162
convoyforfreedom2022	86010091	1.404545	.000309	.000220	1	3227	4	18162
convoyprotest	302984766	5.618181	.000309	.000055	1	3227	1	18162
convoytocanberra	86010091	1.123636	.000309	.000275	1	3227	5	18162
cop26	1387010761994682371	1.404545	.000309	.000220	1	3227	4	18162
copyright	1387010761994682371	5.618181	.000309	.000055	1	3227	1	18162
corbyn	45379403	1.404545	.000309	.000220	1	3227	4	18162
corbynwasright	45379403	2.809090	.000309	.000110	1	3227	2	18162
cornwallgate	1387010761994682371	5.618181	.000309	.000055	1	3227	1	18162
coronavirus	45379403	.462552	.001859	.004019	6	3227	73	18162
coronavirusupdates	45379403	1.872727	.000309	.000165	1	3227	3	18162
corporate	1387010761994682371	5.631818	.001239	.000220	4	3227	4	18162
corporation	1387010761994682371	5.618181	.000309	.000055	1	3227	1	18162
corporations	1387010761994682371	5.627272	.000619	.000110	2	3227	2	18162
corrie	29447428	1.872727	.000309	.000165	1	3227	3	18162
corruption	1387010761994682371	.488941	.000619	.001266	2	3227	23	18162
corsirosenthalbox	118166719	2.010055	.006197	.003083	20	3227	56	18162
corsirosenthalboxes	118166719	5.618181	.000309	.000055	1	3227	1	18162
costadelcaerdydd	29447428	5.618181	.000309	.000055	1	3227	1	18162
costofliving	45379403	.624242	.000309	.000495	1	3227	9	18162
costoflivingcrisis	45379403	.208207	.000619	.002973	2	3227	54	18162
countryfile	578601744	5.618181	.000309	.000055	1	3227	1	18162
